hostname,os,environment,country,node
LPDEU018,Linux,Production,Germany,18
ASFRA002,AIX,Staging,France,2
SPIRL012,Solaris,Production,Ireland,12
LIESP004,Linux,Integration,Spain,4
LSDEU015,Linux,Staging,Germany,15
SSESP008,Solaris,Staging,Spain,8
SDIRL008,Solaris,Development,Ireland,8
LSIRL026,Linux,Staging,Ireland,26
SPNOR004,Solaris,Production,Norway,4
LPITA014,Linux,Production,Italy,14
APFRA007,AIX,Production,France,7
LTIRL025,Linux,Testing,Ireland,25
LPIRL021,Linux,Production,Ireland,21
LDITA004,Linux,Development,Italy,4
ATDEU008,AIX,Testing,Germany,8
LSITA007,Linux,Staging,Italy,7
LTIRL026,Linux,Testing,Ireland,26
AIDEU005,AIX,Integration,Germany,5
ASIRL009,AIX,Staging,Ireland,9
HPDEU004,HP-UX,Production,Germany,4
LIIRL007,Linux,Integration,Ireland,7
ATDEU009,AIX,Testing,Germany,9
LPIRL022,Linux,Production,Ireland,22
LPIRL023,Linux,Production,Ireland,23
APIRL021,AIX,Production,Ireland,21
ATDEU010,AIX,Testing,Germany,10
AIIRL005,AIX,Integration,Ireland,5
SPIRL013,Solaris,Production,Ireland,13
STDEU014,Solaris,Testing,Germany,14
LDIRL008,Linux,Development,Ireland,8
LTESP014,Linux,Testing,Spain,14
SPNOR005,Solaris,Production,Norway,5
LTDEU016,Linux,Testing,Germany,16
STDEU015,Solaris,Testing,Germany,15
APDEU007,AIX,Production,Germany,7
LTIRL027,Linux,Testing,Ireland,27
LSIRL027,Linux,Staging,Ireland,27
HSITA002,HP-UX,Staging,Italy,2
LPIRL024,Linux,Production,Ireland,24
LSNOR005,Linux,Staging,Norway,5
SPNOR006,Solaris,Production,Norway,6
LTDEU017,Linux,Testing,Germany,17
ATESP005,AIX,Testing,Spain,5
LIESP005,Linux,Integration,Spain,5
SDITA005,Solaris,Development,Italy,5
LTDEU018,Linux,Testing,Germany,18
SDITA006,Solaris,Development,Italy,6
AIDEU006,AIX,Integration,Germany,6
ASDEU009,AIX,Staging,Germany,9
SIIRL004,Solaris,Integration,Ireland,4
HSESP005,HP-UX,Staging,Spain,5
LPDEU019,Linux,Production,Germany,19
LSITA008,Linux,Staging,Italy,8
LSITA009,Linux,Staging,Italy,9
HPFRA005,HP-UX,Production,France,5
LTDEU019,Linux,Testing,Germany,19
SDIRL009,Solaris,Development,Ireland,9
LSESP022,Linux,Staging,Spain,22
ADDEU004,AIX,Development,Germany,4
HSIRL004,HP-UX,Staging,Ireland,4
ADITA003,AIX,Development,Italy,3
LSNOR006,Linux,Staging,Norway,6
SIESP003,Solaris,Integration,Spain,3
STIRL014,Solaris,Testing,Ireland,14
LPFRA008,Linux,Production,France,8
ASDEU010,AIX,Staging,Germany,10
LDIRL009,Linux,Development,Ireland,9
ADDEU005,AIX,Development,Germany,5
LTESP015,Linux,Testing,Spain,15
HSDEU001,HP-UX,Staging,Germany,1
LSIRL028,Linux,Staging,Ireland,28
ASIRL010,AIX,Staging,Ireland,10
LTIRL028,Linux,Testing,Ireland,28
LTDEU020,Linux,Testing,Germany,20
ATIRL014,AIX,Testing,Ireland,14
LTITA014,Linux,Testing,Italy,14
LTESP016,Linux,Testing,Spain,16
ADDEU006,AIX,Development,Germany,6
LSIRL029,Linux,Staging,Ireland,29
LPESP016,Linux,Production,Spain,16
ASFRA003,AIX,Staging,France,3
LTIRL029,Linux,Testing,Ireland,29
LSESP023,Linux,Staging,Spain,23
LPESP017,Linux,Production,Spain,17
LDITA005,Linux,Development,Italy,5
LTESP017,Linux,Testing,Spain,17
LPDEU020,Linux,Production,Germany,20
HPDEU005,HP-UX,Production,Germany,5
SSDEU009,Solaris,Staging,Germany,9
LDIRL010,Linux,Development,Ireland,10
SPITA016,Solaris,Production,Italy,16
STDEU016,Solaris,Testing,Germany,16
LTNOR007,Linux,Testing,Norway,7
LDFRA005,Linux,Development,France,5
ATESP006,AIX,Testing,Spain,6
ASESP006,AIX,Staging,Spain,6
SPFRA007,Solaris,Production,France,7
SSDEU010,Solaris,Staging,Germany,10
LDIRL011,Linux,Development,Ireland,11
STITA010,Solaris,Testing,Italy,10
ADDEU007,AIX,Development,Germany,7
APIRL022,AIX,Production,Ireland,22
STITA011,Solaris,Testing,Italy,11
ATDEU011,AIX,Testing,Germany,11
LPDEU021,Linux,Production,Germany,21
LIFRA002,Linux,Integration,France,2
SPIRL014,Solaris,Production,Ireland,14
ATIRL015,AIX,Testing,Ireland,15
LSIRL030,Linux,Staging,Ireland,30
LIITA005,Linux,Integration,Italy,5
SPITA017,Solaris,Production,Italy,17
LIESP006,Linux,Integration,Spain,6
ADDEU008,AIX,Development,Germany,8
HTDEU002,HP-UX,Testing,Germany,2
SPIRL015,Solaris,Production,Ireland,15
SSESP009,Solaris,Staging,Spain,9
LPITA015,Linux,Production,Italy,15
LTITA015,Linux,Testing,Italy,15
SSESP010,Solaris,Staging,Spain,10
LTESP018,Linux,Testing,Spain,18
LTDEU021,Linux,Testing,Germany,21
SPIRL016,Solaris,Production,Ireland,16
LTDEU022,Linux,Testing,Germany,22
LPFRA009,Linux,Production,France,9
SSDEU011,Solaris,Staging,Germany,11
APDEU008,AIX,Production,Germany,8
APDEU009,AIX,Production,Germany,9
STITA012,Solaris,Testing,Italy,12
LSITA010,Linux,Staging,Italy,10
HIDEU003,HP-UX,Integration,Germany,3
APESP004,AIX,Production,Spain,4
SSDEU012,Solaris,Staging,Germany,12
LSIRL031,Linux,Staging,Ireland,31
HSIRL005,HP-UX,Staging,Ireland,5
APIRL023,AIX,Production,Ireland,23
LTDEU023,Linux,Testing,Germany,23
SPIRL017,Solaris,Production,Ireland,17
LPIRL025,Linux,Production,Ireland,25
LTITA016,Linux,Testing,Italy,16
LPIRL026,Linux,Production,Ireland,26
LPITA016,Linux,Production,Italy,16
HTIRL006,HP-UX,Testing,Ireland,6
LTDEU024,Linux,Testing,Germany,24
HSIRL006,HP-UX,Staging,Ireland,6
LSITA011,Linux,Staging,Italy,11
ATESP007,AIX,Testing,Spain,7
HPESP007,HP-UX,Production,Spain,7
LPDEU022,Linux,Production,Germany,22
LTIRL030,Linux,Testing,Ireland,30
LTESP019,Linux,Testing,Spain,19
STDEU017,Solaris,Testing,Germany,17
HDNOR002,HP-UX,Development,Norway,2
HDITA003,HP-UX,Development,Italy,3
SSESP011,Solaris,Staging,Spain,11
ASDEU011,AIX,Staging,Germany,11
SSITA010,Solaris,Staging,Italy,10
LIITA006,Linux,Integration,Italy,6
LDDEU007,Linux,Development,Germany,7
AIIRL006,AIX,Integration,Ireland,6
LSDEU016,Linux,Staging,Germany,16
LPITA017,Linux,Production,Italy,17
LDDEU008,Linux,Development,Germany,8
LTIRL031,Linux,Testing,Ireland,31
LPITA018,Linux,Production,Italy,18
SSIRL014,Solaris,Staging,Ireland,14
APITA012,AIX,Production,Italy,12
SSDEU013,Solaris,Staging,Germany,13
APESP005,AIX,Production,Spain,5
LPDEU023,Linux,Production,Germany,23
SPDEU016,Solaris,Production,Germany,16
ADIRL005,AIX,Development,Ireland,5
ASIRL011,AIX,Staging,Ireland,11
SSNOR001,Solaris,Staging,Norway,1
STESP009,Solaris,Testing,Spain,9
LPITA019,Linux,Production,Italy,19
ATITA006,AIX,Testing,Italy,6
SSIRL015,Solaris,Staging,Ireland,15
SIDEU004,Solaris,Integration,Germany,4
LPDEU024,Linux,Production,Germany,24
ASDEU012,AIX,Staging,Germany,12
SDIRL010,Solaris,Development,Ireland,10
LPIRL027,Linux,Production,Ireland,27
LTESP020,Linux,Testing,Spain,20
SSIRL016,Solaris,Staging,Ireland,16
STIRL015,Solaris,Testing,Ireland,15
LSIRL032,Linux,Staging,Ireland,32
HTIRL007,HP-UX,Testing,Ireland,7
ATESP008,AIX,Testing,Spain,8
STESP010,Solaris,Testing,Spain,10
SPIRL018,Solaris,Production,Ireland,18
LPIRL028,Linux,Production,Ireland,28
ASDEU013,AIX,Staging,Germany,13
SPNOR007,Solaris,Production,Norway,7
LTIRL032,Linux,Testing,Ireland,32
LPDEU025,Linux,Production,Germany,25
ATIRL016,AIX,Testing,Ireland,16
LSITA012,Linux,Staging,Italy,12
HTDEU003,HP-UX,Testing,Germany,3
AIITA005,AIX,Integration,Italy,5
LTIRL033,Linux,Testing,Ireland,33
LSNOR007,Linux,Staging,Norway,7
APITA013,AIX,Production,Italy,13
LDIRL012,Linux,Development,Ireland,12
LPIRL029,Linux,Production,Ireland,29
LTESP021,Linux,Testing,Spain,21
STDEU018,Solaris,Testing,Germany,18
HTIRL008,HP-UX,Testing,Ireland,8
ATDEU012,AIX,Testing,Germany,12
LSIRL033,Linux,Staging,Ireland,33
LDDEU009,Linux,Development,Germany,9
SDESP005,Solaris,Development,Spain,5
LDDEU010,Linux,Development,Germany,10
LTIRL034,Linux,Testing,Ireland,34
HPNOR002,HP-UX,Production,Norway,2
SPITA018,Solaris,Production,Italy,18
ADDEU009,AIX,Development,Germany,9
LIIRL008,Linux,Integration,Ireland,8
LIDEU008,Linux,Integration,Germany,8
ATDEU013,AIX,Testing,Germany,13
LTDEU025,Linux,Testing,Germany,25
APDEU010,AIX,Production,Germany,10
APIRL024,AIX,Production,Ireland,24
LTDEU026,Linux,Testing,Germany,26
LPDEU026,Linux,Production,Germany,26
SPDEU017,Solaris,Production,Germany,17
LSNOR008,Linux,Staging,Norway,8
APITA014,AIX,Production,Italy,14
STIRL016,Solaris,Testing,Ireland,16
ATDEU014,AIX,Testing,Germany,14
LSIRL034,Linux,Staging,Ireland,34
LTITA017,Linux,Testing,Italy,17
LPESP018,Linux,Production,Spain,18
STITA013,Solaris,Testing,Italy,13
STIRL017,Solaris,Testing,Ireland,17
APDEU011,AIX,Production,Germany,11
SSDEU014,Solaris,Staging,Germany,14
ADDEU010,AIX,Development,Germany,10
LPDEU027,Linux,Production,Germany,27
LTDEU027,Linux,Testing,Germany,27
LDNOR002,Linux,Development,Norway,2
SSDEU015,Solaris,Staging,Germany,15
SPIRL019,Solaris,Production,Ireland,19
SDESP006,Solaris,Development,Spain,6
SSIRL017,Solaris,Staging,Ireland,17
LTDEU028,Linux,Testing,Germany,28
LPFRA010,Linux,Production,France,10
STESP011,Solaris,Testing,Spain,11
LTITA018,Linux,Testing,Italy,18
SIDEU005,Solaris,Integration,Germany,5
SIITA002,Solaris,Integration,Italy,2
LPIRL030,Linux,Production,Ireland,30
LSESP024,Linux,Staging,Spain,24
SSDEU016,Solaris,Staging,Germany,16
LDESP006,Linux,Development,Spain,6
LSDEU017,Linux,Staging,Germany,17
LSESP025,Linux,Staging,Spain,25
LIDEU009,Linux,Integration,Germany,9
APDEU012,AIX,Production,Germany,12
SPDEU018,Solaris,Production,Germany,18
LPITA020,Linux,Production,Italy,20
STITA014,Solaris,Testing,Italy,14
SPIRL020,Solaris,Production,Ireland,20
HTESP003,HP-UX,Testing,Spain,3
ASITA005,AIX,Staging,Italy,5
APESP006,AIX,Production,Spain,6
ATIRL017,AIX,Testing,Ireland,17
HIIRL001,HP-UX,Integration,Ireland,1
SPFRA008,Solaris,Production,France,8
AIIRL007,AIX,Integration,Ireland,7
SSESP012,Solaris,Staging,Spain,12
HSIRL007,HP-UX,Staging,Ireland,7
SSDEU017,Solaris,Staging,Germany,17
APDEU013,AIX,Production,Germany,13
APIRL025,AIX,Production,Ireland,25
LSFRA004,Linux,Staging,France,4
LPESP019,Linux,Production,Spain,19
LDIRL013,Linux,Development,Ireland,13
LDDEU011,Linux,Development,Germany,11
SSNOR002,Solaris,Staging,Norway,2
LPDEU028,Linux,Production,Germany,28
LPIRL031,Linux,Production,Ireland,31
SIDEU006,Solaris,Integration,Germany,6
LSDEU018,Linux,Staging,Germany,18
SSESP013,Solaris,Staging,Spain,13
ASIRL012,AIX,Staging,Ireland,12
LTDEU029,Linux,Testing,Germany,29
LSIRL035,Linux,Staging,Ireland,35
ATFRA004,AIX,Testing,France,4
LTESP022,Linux,Testing,Spain,22
SDNOR003,Solaris,Development,Norway,3
LPITA021,Linux,Production,Italy,21
LSESP026,Linux,Staging,Spain,26
LPIRL032,Linux,Production,Ireland,32
AIDEU007,AIX,Integration,Germany,7
LTESP023,Linux,Testing,Spain,23
LTFRA006,Linux,Testing,France,6
SPDEU019,Solaris,Production,Germany,19
ASESP007,AIX,Staging,Spain,7
LTESP024,Linux,Testing,Spain,24
APIRL026,AIX,Production,Ireland,26
HPESP008,HP-UX,Production,Spain,8
LSIRL036,Linux,Staging,Ireland,36
APFRA008,AIX,Production,France,8
HSITA003,HP-UX,Staging,Italy,3
APIRL027,AIX,Production,Ireland,27
SIITA003,Solaris,Integration,Italy,3
LTIRL035,Linux,Testing,Ireland,35
ASITA006,AIX,Staging,Italy,6
LSDEU019,Linux,Staging,Germany,19
LSDEU020,Linux,Staging,Germany,20
LSITA013,Linux,Staging,Italy,13
LSIRL037,Linux,Staging,Ireland,37
LIITA007,Linux,Integration,Italy,7
LTITA019,Linux,Testing,Italy,19
LTDEU030,Linux,Testing,Germany,30
ASITA007,AIX,Staging,Italy,7
SPDEU020,Solaris,Production,Germany,20
ATESP009,AIX,Testing,Spain,9
LPDEU029,Linux,Production,Germany,29
ATIRL018,AIX,Testing,Ireland,18
APIRL028,AIX,Production,Ireland,28
LTNOR008,Linux,Testing,Norway,8
ATIRL019,AIX,Testing,Ireland,19
LDIRL014,Linux,Development,Ireland,14
LDDEU012,Linux,Development,Germany,12
AIIRL008,AIX,Integration,Ireland,8
LIIRL009,Linux,Integration,Ireland,9
APESP007,AIX,Production,Spain,7
ADFRA002,AIX,Development,France,2
SPIRL021,Solaris,Production,Ireland,21
ATNOR004,AIX,Testing,Norway,4
SSESP014,Solaris,Staging,Spain,14
LDITA006,Linux,Development,Italy,6
LSDEU021,Linux,Staging,Germany,21
STDEU019,Solaris,Testing,Germany,19
SDIRL011,Solaris,Development,Ireland,11
LPITA022,Linux,Production,Italy,22
LPIRL033,Linux,Production,Ireland,33
HPDEU006,HP-UX,Production,Germany,6
LPESP020,Linux,Production,Spain,20
LPESP021,Linux,Production,Spain,21
HTFRA002,HP-UX,Testing,France,2
LTITA020,Linux,Testing,Italy,20
ASESP008,AIX,Staging,Spain,8
STIRL018,Solaris,Testing,Ireland,18
SSIRL018,Solaris,Staging,Ireland,18
LPITA023,Linux,Production,Italy,23
APDEU014,AIX,Production,Germany,14
SSIRL019,Solaris,Staging,Ireland,19
LTESP025,Linux,Testing,Spain,25
LPFRA011,Linux,Production,France,11
SIIRL005,Solaris,Integration,Ireland,5
STIRL019,Solaris,Testing,Ireland,19
LSESP027,Linux,Staging,Spain,27
LPDEU030,Linux,Production,Germany,30
LPESP022,Linux,Production,Spain,22
STIRL020,Solaris,Testing,Ireland,20
LSITA014,Linux,Staging,Italy,14
LPNOR003,Linux,Production,Norway,3
SSFRA011,Solaris,Staging,France,11
LDNOR003,Linux,Development,Norway,3
HSFRA003,HP-UX,Staging,France,3
LSITA015,Linux,Staging,Italy,15
SIIRL006,Solaris,Integration,Ireland,6
LPIRL034,Linux,Production,Ireland,34
LIITA008,Linux,Integration,Italy,8
LSITA016,Linux,Staging,Italy,16
LPITA024,Linux,Production,Italy,24
STITA015,Solaris,Testing,Italy,15
LSESP028,Linux,Staging,Spain,28
LPIRL035,Linux,Production,Ireland,35
ASIRL013,AIX,Staging,Ireland,13
APESP008,AIX,Production,Spain,8
STITA016,Solaris,Testing,Italy,16
SSIRL020,Solaris,Staging,Ireland,20
APNOR003,AIX,Production,Norway,3
LTIRL036,Linux,Testing,Ireland,36
SPDEU021,Solaris,Production,Germany,21
STDEU020,Solaris,Testing,Germany,20
STESP012,Solaris,Testing,Spain,12
ASIRL014,AIX,Staging,Ireland,14
LPFRA012,Linux,Production,France,12
ASDEU014,AIX,Staging,Germany,14
STESP013,Solaris,Testing,Spain,13
SPESP013,Solaris,Production,Spain,13
LPFRA013,Linux,Production,France,13
APDEU015,AIX,Production,Germany,15
LPIRL036,Linux,Production,Ireland,36
ASDEU015,AIX,Staging,Germany,15
LSDEU022,Linux,Staging,Germany,22
LTITA021,Linux,Testing,Italy,21
LIDEU010,Linux,Integration,Germany,10
LTIRL037,Linux,Testing,Ireland,37
LPESP023,Linux,Production,Spain,23
LDESP007,Linux,Development,Spain,7
STDEU021,Solaris,Testing,Germany,21
ATIRL020,AIX,Testing,Ireland,20
ASESP009,AIX,Staging,Spain,9
STIRL021,Solaris,Testing,Ireland,21
LTFRA007,Linux,Testing,France,7
LIITA009,Linux,Integration,Italy,9
SSITA011,Solaris,Staging,Italy,11
SPIRL022,Solaris,Production,Ireland,22
LTIRL038,Linux,Testing,Ireland,38
APNOR004,AIX,Production,Norway,4
AIIRL009,AIX,Integration,Ireland,9
STITA017,Solaris,Testing,Italy,17
LPDEU031,Linux,Production,Germany,31
ASFRA004,AIX,Staging,France,4
SPIRL023,Solaris,Production,Ireland,23
LSESP029,Linux,Staging,Spain,29
STIRL022,Solaris,Testing,Ireland,22
STDEU022,Solaris,Testing,Germany,22
ATESP010,AIX,Testing,Spain,10
ASIRL015,AIX,Staging,Ireland,15
LSESP030,Linux,Staging,Spain,30
LSITA017,Linux,Staging,Italy,17
APNOR005,AIX,Production,Norway,5
HSITA004,HP-UX,Staging,Italy,4
LSIRL038,Linux,Staging,Ireland,38
LPDEU032,Linux,Production,Germany,32
LIDEU011,Linux,Integration,Germany,11
LDIRL015,Linux,Development,Ireland,15
ATFRA005,AIX,Testing,France,5
APIRL029,AIX,Production,Ireland,29
SSNOR003,Solaris,Staging,Norway,3
LIITA010,Linux,Integration,Italy,10
APNOR006,AIX,Production,Norway,6
ADITA004,AIX,Development,Italy,4
STNOR001,Solaris,Testing,Norway,1
HSDEU002,HP-UX,Staging,Germany,2
APDEU016,AIX,Production,Germany,16
ATDEU015,AIX,Testing,Germany,15
SPDEU022,Solaris,Production,Germany,22
HIDEU004,HP-UX,Integration,Germany,4
ASNOR003,AIX,Staging,Norway,3
STDEU023,Solaris,Testing,Germany,23
STDEU024,Solaris,Testing,Germany,24
LSITA018,Linux,Staging,Italy,18
LPITA025,Linux,Production,Italy,25
LPFRA014,Linux,Production,France,14
ASFRA005,AIX,Staging,France,5
ATITA007,AIX,Testing,Italy,7
HTIRL009,HP-UX,Testing,Ireland,9
SPITA019,Solaris,Production,Italy,19
LPITA026,Linux,Production,Italy,26
LTITA022,Linux,Testing,Italy,22
ASIRL016,AIX,Staging,Ireland,16
SPESP014,Solaris,Production,Spain,14
SPIRL024,Solaris,Production,Ireland,24
ASFRA006,AIX,Staging,France,6
STITA018,Solaris,Testing,Italy,18
LTITA023,Linux,Testing,Italy,23
LIIRL010,Linux,Integration,Ireland,10
SPIRL025,Solaris,Production,Ireland,25
ADDEU011,AIX,Development,Germany,11
LTIRL039,Linux,Testing,Ireland,39
SSESP015,Solaris,Staging,Spain,15
LIESP007,Linux,Integration,Spain,7
LTIRL040,Linux,Testing,Ireland,40
ASESP010,AIX,Staging,Spain,10
SPIRL026,Solaris,Production,Ireland,26
SSITA012,Solaris,Staging,Italy,12
LPIRL037,Linux,Production,Ireland,37
LTDEU031,Linux,Testing,Germany,31
LINOR003,Linux,Integration,Norway,3
SSDEU018,Solaris,Staging,Germany,18
LTDEU032,Linux,Testing,Germany,32
LTITA024,Linux,Testing,Italy,24
APESP009,AIX,Production,Spain,9
ASESP011,AIX,Staging,Spain,11
HTIRL010,HP-UX,Testing,Ireland,10
LSESP031,Linux,Staging,Spain,31
LPITA027,Linux,Production,Italy,27
SSIRL021,Solaris,Staging,Ireland,21
LSITA019,Linux,Staging,Italy,19
ATDEU016,AIX,Testing,Germany,16
SPITA020,Solaris,Production,Italy,20
SIIRL007,Solaris,Integration,Ireland,7
SPESP015,Solaris,Production,Spain,15
HPESP009,HP-UX,Production,Spain,9
LPIRL038,Linux,Production,Ireland,38
LPITA028,Linux,Production,Italy,28
LSDEU023,Linux,Staging,Germany,23
SPDEU023,Solaris,Production,Germany,23
LSITA020,Linux,Staging,Italy,20
STDEU025,Solaris,Testing,Germany,25
APIRL030,AIX,Production,Ireland,30
LTESP026,Linux,Testing,Spain,26
ADIRL006,AIX,Development,Ireland,6
STIRL023,Solaris,Testing,Ireland,23
ATFRA006,AIX,Testing,France,6
LDDEU013,Linux,Development,Germany,13
STDEU026,Solaris,Testing,Germany,26
LSDEU024,Linux,Staging,Germany,24
SIDEU007,Solaris,Integration,Germany,7
LPITA029,Linux,Production,Italy,29
APNOR007,AIX,Production,Norway,7
SSESP016,Solaris,Staging,Spain,16
STDEU027,Solaris,Testing,Germany,27
LPESP024,Linux,Production,Spain,24
LSDEU025,Linux,Staging,Germany,25
LPDEU033,Linux,Production,Germany,33
SSIRL022,Solaris,Staging,Ireland,22
ASIRL017,AIX,Staging,Ireland,17
SPDEU024,Solaris,Production,Germany,24
LTIRL041,Linux,Testing,Ireland,41
SPIRL027,Solaris,Production,Ireland,27
SPITA021,Solaris,Production,Italy,21
LIFRA003,Linux,Integration,France,3
ATFRA007,AIX,Testing,France,7
SPESP016,Solaris,Production,Spain,16
HSIRL008,HP-UX,Staging,Ireland,8
LPFRA015,Linux,Production,France,15
STNOR002,Solaris,Testing,Norway,2
LTESP027,Linux,Testing,Spain,27
LDESP008,Linux,Development,Spain,8
SSESP017,Solaris,Staging,Spain,17
LTNOR009,Linux,Testing,Norway,9
LTFRA008,Linux,Testing,France,8
ATIRL021,AIX,Testing,Ireland,21
LIIRL011,Linux,Integration,Ireland,11
LSITA021,Linux,Staging,Italy,21
LDITA007,Linux,Development,Italy,7
STIRL024,Solaris,Testing,Ireland,24
LPITA030,Linux,Production,Italy,30
HSNOR002,HP-UX,Staging,Norway,2
STDEU028,Solaris,Testing,Germany,28
LTIRL042,Linux,Testing,Ireland,42
LPDEU034,Linux,Production,Germany,34
AIIRL010,AIX,Integration,Ireland,10
ASIRL018,AIX,Staging,Ireland,18
LPDEU035,Linux,Production,Germany,35
LDITA008,Linux,Development,Italy,8
SSESP018,Solaris,Staging,Spain,18
SIIRL008,Solaris,Integration,Ireland,8
LTITA025,Linux,Testing,Italy,25
LTNOR010,Linux,Testing,Norway,10
SDIRL012,Solaris,Development,Ireland,12
SPIRL028,Solaris,Production,Ireland,28
LSITA022,Linux,Staging,Italy,22
AIIRL011,AIX,Integration,Ireland,11
LTESP028,Linux,Testing,Spain,28
LSITA023,Linux,Staging,Italy,23
SSDEU019,Solaris,Staging,Germany,19
LPIRL039,Linux,Production,Ireland,39
SPIRL029,Solaris,Production,Ireland,29
LSIRL039,Linux,Staging,Ireland,39
LTDEU033,Linux,Testing,Germany,33
ATIRL022,AIX,Testing,Ireland,22
APESP010,AIX,Production,Spain,10
LTITA026,Linux,Testing,Italy,26
ATIRL023,AIX,Testing,Ireland,23
STIRL025,Solaris,Testing,Ireland,25
SSDEU020,Solaris,Staging,Germany,20
ATIRL024,AIX,Testing,Ireland,24
APIRL031,AIX,Production,Ireland,31
ASITA008,AIX,Staging,Italy,8
SSFRA012,Solaris,Staging,France,12
LSIRL040,Linux,Staging,Ireland,40
ASFRA007,AIX,Staging,France,7
ASITA009,AIX,Staging,Italy,9
SDIRL013,Solaris,Development,Ireland,13
SPIRL030,Solaris,Production,Ireland,30
LSESP032,Linux,Staging,Spain,32
LIFRA004,Linux,Integration,France,4
LPIRL040,Linux,Production,Ireland,40
LPDEU036,Linux,Production,Germany,36
ASITA010,AIX,Staging,Italy,10
HSESP006,HP-UX,Staging,Spain,6
HSITA005,HP-UX,Staging,Italy,5
LSESP033,Linux,Staging,Spain,33
HSITA006,HP-UX,Staging,Italy,6
ASDEU016,AIX,Staging,Germany,16
LSDEU026,Linux,Staging,Germany,26
SSIRL023,Solaris,Staging,Ireland,23
ATESP011,AIX,Testing,Spain,11
LPESP025,Linux,Production,Spain,25
LPDEU037,Linux,Production,Germany,37
HTIRL011,HP-UX,Testing,Ireland,11
STIRL026,Solaris,Testing,Ireland,26
SPDEU025,Solaris,Production,Germany,25
HTESP004,HP-UX,Testing,Spain,4
ATFRA008,AIX,Testing,France,8
APDEU017,AIX,Production,Germany,17
ATITA008,AIX,Testing,Italy,8
HPITA006,HP-UX,Production,Italy,6
LSIRL041,Linux,Staging,Ireland,41
LTIRL043,Linux,Testing,Ireland,43
HSIRL009,HP-UX,Staging,Ireland,9
SSIRL024,Solaris,Staging,Ireland,24
LPITA031,Linux,Production,Italy,31
HTIRL012,HP-UX,Testing,Ireland,12
LSIRL042,Linux,Staging,Ireland,42
SSFRA013,Solaris,Staging,France,13
APIRL032,AIX,Production,Ireland,32
LSITA024,Linux,Staging,Italy,24
LTESP029,Linux,Testing,Spain,29
SSDEU021,Solaris,Staging,Germany,21
LSFRA005,Linux,Staging,France,5
SSITA013,Solaris,Staging,Italy,13
LSESP034,Linux,Staging,Spain,34
SPDEU026,Solaris,Production,Germany,26
ATDEU017,AIX,Testing,Germany,17
APIRL033,AIX,Production,Ireland,33
LIESP008,Linux,Integration,Spain,8
LDDEU014,Linux,Development,Germany,14
HSITA007,HP-UX,Staging,Italy,7
APIRL034,AIX,Production,Ireland,34
LIESP009,Linux,Integration,Spain,9
APNOR008,AIX,Production,Norway,8
HPITA007,HP-UX,Production,Italy,7
LPESP026,Linux,Production,Spain,26
LDESP009,Linux,Development,Spain,9
HDIRL004,HP-UX,Development,Ireland,4
SIFRA004,Solaris,Integration,France,4
SSIRL025,Solaris,Staging,Ireland,25
ATITA009,AIX,Testing,Italy,9
LTFRA009,Linux,Testing,France,9
HPIRL007,HP-UX,Production,Ireland,7
APDEU018,AIX,Production,Germany,18
SPITA022,Solaris,Production,Italy,22
SPIRL031,Solaris,Production,Ireland,31
HTDEU004,HP-UX,Testing,Germany,4
SPESP017,Solaris,Production,Spain,17
SSIRL026,Solaris,Staging,Ireland,26
SSITA014,Solaris,Staging,Italy,14
LIESP010,Linux,Integration,Spain,10
STESP014,Solaris,Testing,Spain,14
LIITA011,Linux,Integration,Italy,11
ASIRL019,AIX,Staging,Ireland,19
LSESP035,Linux,Staging,Spain,35
STESP015,Solaris,Testing,Spain,15
HSITA008,HP-UX,Staging,Italy,8
LPFRA016,Linux,Production,France,16
SSIRL027,Solaris,Staging,Ireland,27
LSIRL043,Linux,Staging,Ireland,43
LSESP036,Linux,Staging,Spain,36
LTESP030,Linux,Testing,Spain,30
LIIRL012,Linux,Integration,Ireland,12
STDEU029,Solaris,Testing,Germany,29
STESP016,Solaris,Testing,Spain,16
AIDEU008,AIX,Integration,Germany,8
HTESP005,HP-UX,Testing,Spain,5
STESP017,Solaris,Testing,Spain,17
LTIRL044,Linux,Testing,Ireland,44
STDEU030,Solaris,Testing,Germany,30
LDFRA006,Linux,Development,France,6
SSIRL028,Solaris,Staging,Ireland,28
LPDEU038,Linux,Production,Germany,38
SPFRA009,Solaris,Production,France,9
LIFRA005,Linux,Integration,France,5
LPIRL041,Linux,Production,Ireland,41
LSESP037,Linux,Staging,Spain,37
AIDEU009,AIX,Integration,Germany,9
ASDEU017,AIX,Staging,Germany,17
LPFRA017,Linux,Production,France,17
LPIRL042,Linux,Production,Ireland,42
LPESP027,Linux,Production,Spain,27
SPNOR008,Solaris,Production,Norway,8
HIIRL002,HP-UX,Integration,Ireland,2
LTITA027,Linux,Testing,Italy,27
SSIRL029,Solaris,Staging,Ireland,29
STIRL027,Solaris,Testing,Ireland,27
HPIRL008,HP-UX,Production,Ireland,8
STIRL028,Solaris,Testing,Ireland,28
SIIRL009,Solaris,Integration,Ireland,9
LPFRA018,Linux,Production,France,18
STDEU031,Solaris,Testing,Germany,31
SPIRL032,Solaris,Production,Ireland,32
STIRL029,Solaris,Testing,Ireland,29
SPESP018,Solaris,Production,Spain,18
APESP011,AIX,Production,Spain,11
LPESP028,Linux,Production,Spain,28
